,Baseline,Latency_a,Latency_b,T2MaxVel,T2MaxCon,T2Rec75pc,PeakCon,ConAmplitude,VelConMax,VelConAve,AccConMax,ConTime,VelRedAve,VelRedMax,AccRedMax,type
ES0001_S004_PC_EM,0.00032355690817768954,0.3739837398373984,0.3008130081300813,0.3902439024390244,0.9674796747967481,0.0,-0.22378947200732813,0.22411302891550583,0.745453430994763,0.2952066270772723,5.581662267996213,0.5934959349593497,0.08045927578198432,0.223354345495552,2.311239921619279,asset
ES0001_S005_PC_EM,0.00036033801634541225,0.7642276422764228,0.3008130081300813,0.6829268292682927,0.8699186991869919,0.5203252032520326,-0.062456758929367445,0.06281709694571286,0.24046198893815493,0.12764397502582875,2.468464425813641,0.10569105691056913,0.04978353440466801,0.25745595212801703,2.597880999815763,asset
ES0001_S006_PC_EM,0.004369548393889182,0.6666666666666667,0.28455284552845533,0.5772357723577236,2.2032520325203255,0.0,-0.16929004029365471,0.1736595886875439,0.4335547000777481,0.12680042314570464,7.183460825266184,1.5365853658536588,0.06545907004643149,0.22745773910948633,6.105667793246939,asset
ES0001_S008_PC_EM,0.0036074642559611315,0.3870967741935484,0.29032258064516125,0.3870967741935484,0.5967741935483871,0.7016129032258064,-0.13582659225816035,0.13943405651412147,0.7622148622568229,0.4269962847499714,6.29188795284298,0.20967741935483875,0.08463607368532008,0.24251317645740195,2.610982678671243,asset
ES0001_S009_PC_EM,0.006140060017076207,0.47967479674796754,0.2764227642276423,0.3658536585365854,2.853658536585366,0.0,-0.1426987207590679,0.1488387807761441,0.4105445599801982,0.06698054412669921,4.015826837775872,2.3739837398373984,0.021244709711217682,0.042438392329627254,0.6064750946222701,asset
ES0001_S010_PC_EM,-0.0003534622143313904,0.0,0.5528455284552846,1.3089430894308944,0.29268292682926833,0.0813008130081301,-0.002543947713774022,0.0021904854994426316,0.011268364574392602,0.008301428979488915,0.1710235602124632,0.29268292682926833,0.04326737061276084,0.11541411600243408,1.368362948987114,asset
ES0001_S011_PC_EM,0.004281880995854197,0.3821138211382114,0.28455284552845533,0.39837398373983746,0.7235772357723578,1.024390243902439,-0.15410509984016635,0.15838698083602054,0.587385362596033,0.3090060511644933,3.767943304899515,0.34146341463414637,0.061041650520053385,0.22346128326007927,1.3714105219877084,asset
ES0001_S012_PC_EM,0.0052181914280272175,0.5528455284552846,0.40650406504065045,0.48780487804878053,0.8130081300813009,0.0,-0.10110826506496041,0.10632645649298764,0.3903036183884641,0.2016004097233005,3.333143575887859,0.26016260162601634,0.0664720616420214,0.19648160672213327,3.051862855838888,asset
ES0001_S013_PC_EM,0.002747267917314408,0.34959349593495936,0.3170731707317074,0.41463414634146345,0.9837398373983741,0.0,-0.4507759572398142,0.45352322515712856,1.5411965459478525,0.632646509906624,11.752563230938547,0.6341463414634148,0.0755249475634979,0.18207309395406848,1.2101372110383934,asset
ES0001_S015_PC_EM,0.00036033801634541225,0.7642276422764228,0.3008130081300813,0.6829268292682927,0.8699186991869919,0.5203252032520326,-0.062456758929367445,0.06281709694571286,0.24046198893815493,0.12764397502582875,2.468464425813641,0.10569105691056913,0.04978353440466801,0.25745595212801703,2.597880999815763,asset
ES0001_S017_PC_EM,0.0004898672561677637,0.24390243902439027,0.24390243902439027,0.33333333333333337,0.7886178861788619,0.0,-0.6857421900143146,0.6862320572704823,2.993518234416827,1.1896422481004787,25.1270338307908,0.5447154471544716,0.17771055288678833,0.4624536164452679,2.4755411381272787,asset
ES0001_S018_PC_EM,-0.0008947817413695666,0.3170731707317074,0.22764227642276424,0.4390243902439025,1.3414634146341464,0.0,-0.4109618402348286,0.41006705849345904,0.8028584116513601,0.3687302437986084,4.408627625805411,1.024390243902439,0.14716725135995132,0.25982718149298795,2.307521125188717,asset
ES0001_S019_PC_EM,-0.001315080182547949,0.0,0.4471544715447155,0.5365853658536586,0.6666666666666667,0.20325203252032523,-0.0232653768068039,0.02195029662425595,0.25647549324131863,0.09114289532026627,2.6705963194306594,0.6666666666666667,0.0794570175222465,0.27043839702299544,2.1480323805717205,asset
ES0001_S020_PC_EM,-0.00021286455066956575,0.29268292682926833,0.2764227642276423,0.3902439024390244,1.0813008130081303,0.0,-0.8319870166724529,0.8317741521217833,2.2670180473320123,0.9945819444064057,16.68001304095614,0.788617886178862,0.13363561666148832,0.2713732136834745,1.3188160806891338,asset
ES0001_S022_PC_EM,0.004610460197494641,0.5365853658536586,0.3902439024390244,0.49593495934959353,0.9593495934959351,0.0,-0.12897025895541286,0.1335807191529075,0.4250970365437609,0.1882557468419407,2.773302817901548,0.4227642276422765,0.023134394862735205,0.06570963831470268,1.0131164429121395,asset
ES0001_S023_PC_EM,0.002426164153030824,0.5284552845528456,0.1788617886178862,0.4471544715447155,0.6585365853658537,0.5528455284552846,-0.06390687942409073,0.06633304357712155,0.2989237568616649,0.11743627258951997,2.600436605957498,0.13008130081300806,0.06464559661028649,0.21329812571414808,1.798254498967483,asset
ES0001_S024_PC_EM,0.007674839289026289,0.2601626016260163,0.2520325203252033,0.34959349593495936,0.894308943089431,0.0,-1.2441964009449298,1.251871240233956,4.149507883813564,1.9131844552384933,34.36836492709885,0.6341463414634148,0.2281352065567056,0.5854430290133951,4.623528412766167,asset
ES0001_S025_PC_EM,0.0007236499774656511,0.0,0.23577235772357727,0.5609756097560976,2.9674796747967482,0.0,-0.03572986981878493,0.03645351979625058,0.09473545108515506,0.02693542928968592,0.9662669379147564,2.9674796747967482,0.034179243055064715,0.034179243055064715,0.07038738397839266,asset
ES0001_S026_PC_EM,0.0030715186686437607,0.5284552845528456,0.3577235772357724,0.47967479674796754,1.0081300813008132,0.6260162601626017,-0.0860054784077322,0.08907699707637597,0.3098984929998647,0.0777555928959673,1.883377165633854,0.47967479674796754,0.046110983680575354,0.19729086306511376,1.6870837336673212,asset
ES0001_S027_PC_EM,0.0010373200144483947,0.2682926829268293,0.2601626016260163,0.3658536585365854,0.9674796747967481,0.0,-0.7045736081576003,0.7056109281720486,2.174544121497649,0.9406423699738528,15.945329182990196,0.6991869918699188,0.10747979222271549,0.24442258161380356,1.6860865041155937,asset
ES0001_S028_PC_EM,0.0018179855596725594,0.2764227642276423,0.2520325203252033,0.34959349593495936,0.821138211382114,0.0,-0.802960027510188,0.8047780130698606,2.923493410222019,1.4027089965191004,24.50865644914263,0.5447154471544717,0.15828132663933117,0.47147167789702443,5.051983130182087,asset
ES0001_S029_PC_EM,-0.002577461206345877,0.2520325203252033,0.28455284552845533,0.3902439024390244,0.853658536585366,0.0,-0.8831708629816524,0.8805934017753065,2.8104354086153576,1.3869033281844387,17.353164403639067,0.6016260162601627,0.16622420482800723,0.4053519719994007,2.7483981503718744,asset
ES0001_S030_PC_EM,0.010236948667002874,0.2601626016260163,0.2520325203252033,0.3658536585365854,1.024390243902439,0.0,-1.2773750229556764,1.2876119716226793,3.7737417284205192,1.6169846602168199,28.5060760552132,0.7642276422764227,0.19130359940382555,0.492772759864567,5.821280969258805,asset
ES0001_S031_PC_EM,0.00228179456637425,0.29268292682926833,0.3008130081300813,0.41463414634146345,1.0731707317073171,0.0,-1.1082701062369436,1.1105519008033178,2.9772078870475975,1.3670444840837421,20.58974929180525,0.7804878048780488,0.28672133335865707,0.5072481246279671,2.112971456945819,asset
ES0001_S004_PC_EM,-0.003973592442567749,0.24390243902439027,0.3008130081300813,0.40650406504065045,1.3089430894308944,0.0,-0.5024999534512328,0.49852636100866504,1.5296719598345363,0.42910372577322603,11.761263186018978,1.0650406504065042,0.1692116683936227,0.4155230474451202,5.003509615678931,surprise
ES0001_S005_PC_EM,0.008051225460025069,0.5528455284552846,0.3170731707317074,0.5528455284552846,1.4390243902439026,0.0,-0.26888602624312596,0.27693725170315103,0.6291150590774329,0.27930537916099774,6.36819181097432,0.886178861788618,0.22174459607359692,0.5819384301652175,11.271727007773116,surprise
ES0001_S006_PC_EM,0.004712079908081072,0.40650406504065045,0.9837398373983741,0.47154471544715454,2.0650406504065044,0.0,-0.5080250530031876,0.5127371329112687,1.1198001927344847,0.39082514903747273,30.909277366191283,1.658536585365854,0.4222965636402675,1.8860976484325072,35.76088627865906,surprise
ES0001_S008_PC_EM,0.010275234789377216,0.31451612903225806,0.27419354838709675,0.3629032258064516,1.0564516129032258,0.0,-0.43833221310951664,0.44860744789889384,2.03470101725839,0.5652214345869202,17.087027858075636,0.7419354838709677,0.19514834523613858,0.6408299773764257,7.424848594216041,surprise
ES0001_S009_PC_EM,0.009546487600691692,0.3739837398373984,0.9918699186991871,1.0569105691056913,1.845528455284553,0.0,-0.7744300877914314,0.7839765753921231,1.2875033302603878,0.5861216525653199,17.641140349789904,1.4715447154471546,0.34428551364768584,0.8222678592249838,8.430046659067731,surprise
ES0001_S010_PC_EM,0.005841738880089024,0.5528455284552846,0.39837398373983746,0.47967479674796754,0.6747967479674798,0.28455284552845533,-0.07191786578097104,0.07775960466106006,0.41198473389129503,0.18544395884049839,3.1727367442330685,0.12195121951219523,0.14862156788899267,0.39449846476924594,3.3403706685281747,surprise
ES0001_S011_PC_EM,-0.009721833631057423,0.23577235772357727,0.3008130081300813,0.4308943089430895,0.7317073170731708,0.0,-0.4510749541428307,0.4413531205117733,1.3514972537466678,0.8096742124378684,7.932609935608609,0.49593495934959353,0.1513221788434678,0.38557636149302826,4.308483645800612,surprise
ES0001_S012_PC_EM,0.0009662548781757726,0.3821138211382114,0.34959349593495936,0.4634146341463415,1.1463414634146343,0.0,-0.5459508102726962,0.546917065150872,1.3373244357433909,0.6558106284379743,8.574152005328525,0.7642276422764229,0.15490082421322898,0.2675174652580972,4.088219708610836,surprise
ES0001_S013_PC_EM,-0.0006254679042727029,0.3252032520325204,0.3089430894308943,0.41463414634146345,0.9918699186991871,0.0,-0.5245658030269995,0.5239403351227268,1.6605755286415005,0.720976404995182,12.302977496359201,0.6666666666666667,0.10285546171489952,0.3124557365671871,3.914456547409792,surprise
ES0001_S015_PC_EM,0.008051225460025069,0.5528455284552846,0.3170731707317074,0.5528455284552846,1.4390243902439026,0.0,-0.26888602624312596,0.27693725170315103,0.6291150590774329,0.27930537916099774,6.36819181097432,0.886178861788618,0.22174459607359692,0.5819384301652175,11.271727007773116,surprise
ES0001_S017_PC_EM,-0.006371227591027595,0.24390243902439027,0.2520325203252033,0.34146341463414637,0.902439024390244,0.0,-0.7065698393187516,0.700198611727724,3.0765491252282344,1.0044029873130969,24.691809406620848,0.6585365853658538,0.21857966189426073,0.6079883350614598,4.4559134655701955,surprise
ES0001_S018_PC_EM,-0.006658488242934357,0.2601626016260163,0.3170731707317074,0.4308943089430895,1.747967479674797,0.0,-1.0789338812320053,1.072275392989071,2.075862939862676,0.6999647284545126,12.711857469737211,1.4878048780487807,0.25133760771598207,0.5336004515995312,4.462684408957401,surprise
ES0001_S019_PC_EM,0.01333818739221134,0.39837398373983746,0.3821138211382114,0.4634146341463415,0.6991869918699187,0.6260162601626017,-0.20521510288495792,0.21855329027716927,0.809937745446439,0.5219488993736348,4.992558147760616,0.30081300813008127,0.1910963525238275,0.4856446875733235,3.486819873760937,surprise
ES0001_S020_PC_EM,0.003752712480051934,0.29268292682926833,0.28455284552845533,0.39837398373983746,1.0406504065040652,0.0,-0.9386911338453566,0.9424438463254086,2.4121185457188883,1.1980441959969341,16.945539889692252,0.7479674796747968,0.2371495976812155,0.6084066954081917,4.4761187237626885,surprise
ES0001_S022_PC_EM,0.00819759250523531,0.39837398373983746,0.33333333333333337,0.4390243902439025,0.8130081300813009,0.0,-0.28611666454622914,0.29431425705146447,1.0340423495246591,0.5801255456539767,6.746189244917815,0.41463414634146345,0.10574364008026953,0.29480402745718837,4.22931095502219,surprise
ES0001_S023_PC_EM,0.0027006296071480453,0.2682926829268293,0.1951219512195122,0.49593495934959353,1.1138211382113823,0.0,-0.488091623721435,0.49079225332858306,1.0882239757216232,0.52385787289425,6.88736458199558,0.845528455284553,0.15726966040429363,0.6371628855562044,4.085588990920724,surprise
ES0001_S024_PC_EM,0.005665745116674521,0.2682926829268293,0.2601626016260163,0.3577235772357724,0.7967479674796749,0.0,-1.1961520434574597,1.2018177885741343,4.272256095093017,2.1766921171551377,35.72921511036653,0.5284552845528456,0.467403591027837,1.311019547603368,21.433341344178324,surprise
ES0001_S025_PC_EM,-0.00161043328064762,0.0,0.39837398373983746,0.47154471544715454,0.5853658536585367,0.21138211382113822,-0.0467172044411871,0.04510677116053948,0.24944182242487675,0.0806378477305518,2.7983786920278035,0.5853658536585367,0.10657447812049331,0.2562103493812924,2.5199939955813364,surprise
ES0001_S026_PC_EM,-0.0020641044375017494,0.3739837398373984,0.3658536585365854,0.4634146341463415,0.7154471544715448,1.2195121951219514,-0.29973887686485867,0.2976747724273569,1.2491976741757442,0.7434525735991451,7.878292966518248,0.3414634146341464,0.1811389927176061,0.37243432263626436,4.558131342951153,surprise
ES0001_S027_PC_EM,-0.0023687711122211685,0.2520325203252033,0.2601626016260163,0.3577235772357724,0.861788617886179,0.0,-0.7889815302770385,0.7866127591648173,2.642691680282579,1.2159113475781447,19.360914739729083,0.6097560975609757,0.20183184693784723,0.48644705695599616,3.518188345774369,surprise
ES0001_S028_PC_EM,0.00289461373347862,0.2764227642276423,0.2520325203252033,0.3577235772357724,0.7804878048780488,0.0,-0.8902651704113235,0.8931597841448021,3.423321737863916,1.695738841444143,29.270584016490755,0.5040650406504066,0.2789548478779481,0.7821744780933466,5.141874063519904,surprise
ES0001_S029_PC_EM,-0.005244798701995419,0.23577235772357727,0.28455284552845533,0.3658536585365854,0.7073170731707318,0.0,-0.7887789515872732,0.7835341528852777,3.1283711272180255,1.5706965051404778,23.691463818372306,0.4715447154471545,0.24108133848762098,0.8990179362414376,8.127598339365084,surprise
ES0001_S030_PC_EM,0.002626864425747518,0.22764227642276424,0.24390243902439027,0.34959349593495936,0.894308943089431,0.0,-1.5624215861703337,1.565048450596081,4.808800841910817,2.2699002511058493,36.81265032337588,0.6666666666666667,0.43582027542000523,1.137064774769025,6.028540997183082,surprise
ES0001_S031_PC_EM,-0.012710427267045965,0.2601626016260163,0.3008130081300813,0.6260162601626017,1.1382113821138213,0.0,-0.9990495879735256,0.9863391607064796,1.844756375549668,1.0825025481371569,12.270322453780352,0.878048780487805,0.18379143112872262,0.42612743856738916,3.9108542046384804,surprise
